Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
452966,FRY'S 46,520 E Baseline Rd,NA,Phoenix,AZ,85042,6554,MARICOPA,Super Store,33.377796,-112.06664,NA,NA,13778,"c(-112.06664, 33.377796)"
357944,Jewel Food Store 1296,7342 W Foster,NA,Chicago,IL,60656,    ,COOK,Supermarket,41.974514,-87.810669,NA,NA,14013,"c(-87.810669, 41.974514)"
358667,SAFEWAY  752,4747 E Elliot Rd,NA,Phoenix,AZ,85044,1627,MARICOPA,Supermarket,33.348904,-111.98187,NA,NA,14071,"c(-111.98187, 33.348904)"
322918,Imperial Supermarket,1940 E 8 Mile Rd,NA,Detroit,MI,48234,1008,WAYNE,Super Store,42.446995,-83.082436,NA,Fair Food Network,14123,"c(-83.082436, 42.446995)"
372308,Walmart 2113,1607 W Bethany Home Rd,NA,Phoenix,AZ,85015,2507,MARICOPA,Super Store,33.524014,-112.09458,NA,NA,14481,"c(-112.09458, 33.524014)"
371934,FRY'S 610,4230 W McDowell Rd,NA,Phoenix,AZ,85009,2096,MARICOPA,Super Store,33.466,-112.15036,NA,NA,14891,"c(-112.15036, 33.466)"
455931,Tony's Fresh Market 967,4137 N Elston Ave,NA,Chicago,IL,60618,2107,COOK,Super Store,41.956028,-87.72245,NA,NA,14903,"c(-87.72245, 41.956028)"
456339,ALDI  28,4934 S Kedzie Ave,NA,Chicago,IL,60632,3008,COOK,Supermarket,41.803101,-87.703896,NA,NA,14932,"c(-87.703896, 41.803101)"
442763,CERMAK PRODUCE #4,2701 W North Ave,NA,Chicago,IL,60647,5236,COOK,Super Store,41.910221,-87.695114,NA,NA,15011,"c(-87.695114, 41.910221)"
439392,Food City 105,3514 W Glendale Ave,NA,Phoenix,AZ,85051,8394,MARICOPA,Super Store,33.53854,-112.13519,NA,NA,15112,"c(-112.13519, 33.53854)"
438932,Tony's Fresh Market 867,4608 W Belmont Ave,NA,Chicago,IL,60641,4401,COOK,Super Store,41.938908,-87.742691,NA,NA,15415,"c(-87.742691, 41.938908)"
362118,SUPERMERCADO ELGUERO #8 INC,2101 W Cermak Rd,NA,Chicago,IL,60608,4005,COOK,Supermarket,41.851879,-87.679153,NA,NA,15562,"c(-87.679153, 41.851879)"
360992,La Cienega Superfood Inc,10736 S Ewing Ave,NA,Chicago,IL,60617,6605,COOK,Supermarket,41.69968,-87.535309,NA,NA,15730,"c(-87.535309, 41.69968)"
375710,MARIBEL JIMENEZ INC,3850 W Fullerton Ave,NA,Chicago,IL,60647,2246,COOK,Super Store,41.924835,-87.723633,NA,NA,16133,"c(-87.723633, 41.924835)"
373850,Jewel Food Store 3443,5343 N Broadway St,NA,Chicago,IL,60640,2311,COOK,Supermarket,41.978928,-87.659859,NA,NA,16611,"c(-87.659859, 41.978928)"
413370,Alnour Super Market 1,8716 Michigan Ave,NA,Detroit,MI,48210,2060,WAYNE,Grocery Store,42.330013,-83.149033,NA,NA,16914,"c(-83.149033, 42.330013)"
